MONTH,YEAR,REGION,Area,"Number of
Reservoirs","Total Capacity
 
 1000 AF","Hist Ave
 
 1000 AF","Previous year 
 
 1000 AF","Current year 
 
 1000 AF","% 
 
Ave","% 
 
Cap"
6,2011,South,SOUTH COAST,29,1973.8,1472.8,1346.9,1586.8,108,80
6,2011,North,SACRAMENTO,43,16001.7,13059,13810.9,15174.1,116,95
6,2011,Central,SAN JOAQUIN,34,11440.4,8301.2,8977.5,10622.3,128,93
6,2011,South,TULARE LAKE,6,2087.4,1360.7,1698.4,1788.2,131,86
6,2011,North,NORTH LAHONTAN,5,1072,683.4,442.8,947.5,139,88
6,2011,South,SOUTH LAHONTAN,8,402.5,297.8,298.5,301.2,101,75
7,2011,North,NORTH COAST,6,3096.3,2335.6,2168.8,2809.6,120,91
7,2011,North,SAN FRANCISCO BAY,17,688,469.4,507.3,515,110,75
7,2011,Central,CENTRAL COAST,6,970.3,622.2,596.1,836.2,134,86
7,2011,South,SOUTH COAST,29,1973.8,1420.6,1335.5,1544,109,78
7,2011,North,SACRAMENTO,43,16001.7,11809,12431.7,14480.5,123,90
7,2011,Central,SAN JOAQUIN,34,11440.4,7552.6,8327.5,10505,139,92
7,2011,South,TULARE LAKE,6,2087.4,1053,1343.6,1660.6,158,80
7,2011,North,NORTH LAHONTAN,5,1072,649.7,412.8,992.2,153,93
7,2011,South,SOUTH LAHONTAN,8,402.5,306.5,318.4,331.7,108,82
8,2011,North,NORTH COAST,6,3096.3,2151.2,2047.3,2683.2,125,87
8,2011,North,SAN FRANCISCO BAY,17,688,444.7,491.1,499,112,73
8,2011,Central,CENTRAL COAST,6,970.3,578.6,548.7,797.2,138,82
8,2011,South,SOUTH COAST,29,1973.8,1367.9,1301.7,1519.4,111,77
8,2011,North,SACRAMENTO,43,16001.7,10621.4,11092.1,13330.9,126,83
8,2011,Central,SAN JOAQUIN,34,11440.4,6771.7,7495.6,9477.2,140,83
8,2011,South,TULARE LAKE,6,2087.4,785.9,901.2,1275.1,162,61
8,2011,North,NORTH LAHONTAN,5,1072,574,315.8,929.5,162,87
8,2011,South,SOUTH LAHONTAN,8,402.5,292.1,285.1,341.7,117,85
9,2011,North,NORTH COAST,6,3096.3,1988.3,1937.5,2542.9,128,82
9,2011,North,SAN FRANCISCO BAY,17,688,420.5,475.1,484.1,115,70
9,2011,Central,CENTRAL COAST,6,970.3,546.4,507.8,761.1,139,78
9,2011,South,SOUTH COAST,29,1973.8,1325.6,1253.3,1454.3,110,74
9,2011,North,SACRAMENTO,43,16001.7,9912.2,10240.9,12292,124,77
9,2011,Central,SAN JOAQUIN,34,11440.4,6399.7,6983,8833.4,138,77
9,2011,South,TULARE LAKE,6,2087.4,678.7,721.5,1023.9,151,49
9,2011,North,NORTH LAHONTAN,5,1072,507.5,240.2,854.8,168,80
9,2011,South,SOUTH LAHONTAN,8,402.5,279.3,260.3,321,115,80
10,2011,North,NORTH COAST,6,3096.3,1894.2,1860.1,2416.5,128,78
10,2011,North,SAN FRANCISCO BAY,17,688,402.2,461.5,473.3,118,69
10,2011,Central,CENTRAL COAST,6,970.3,524.8,481.5,727.2,139,75
10,2011,South,SOUTH COAST,29,1973.8,1285,1262,1417.2,110,72
10,2011,North,SACRAMENTO,43,16001.7,9492.6,10039.2,11706.9,123,73
10,2011,Central,SAN JOAQUIN,34,11440.4,6176.2,6929.9,8533.3,138,75
10,2011,South,TULARE LAKE,6,2087.4,637.4,684.8,913.1,143,44
10,2011,North,NORTH LAHONTAN,5,1072,465.4,258.5,805.3,173,75
10,2011,South,SOUTH LAHONTAN,8,402.5,272.3,253.3,298.1,109,74
11,2011,North,NORTH COAST,6,3096.3,1892.7,1892.7,2308.6,122,75
11,2011,North,SAN FRANCISCO BAY,17,688,399.8,453.3,455.8,114,66
11,2011,Central,CENTRAL COAST,6,970.3,516.5,473.9,724.9,140,75
11,2011,South,SOUTH COAST,29,1973.8,1279.6,1250.9,1411.8,110,72
11,2011,North,SACRAMENTO,43,16001.7,9478.3,9847.2,11307.4,119,71
11,2011,Central,SAN JOAQUIN,34,11440.4,6276.1,7201.8,8419.6,134,74
11,2011,South,TULARE LAKE,6,2087.4,647.8,733.3,897.1,138,43
11,2011,North,NORTH LAHONTAN,5,1072,459.2,271.9,754.4,164,70
